id,recipe,category,prep_time_in_minutes,prep_time_note,cook_time_in_minutes,cook_time_note,difficulty,serving,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,directions_step_1,directions_step_2,directions_step_3,directions_step_4,directions_step_5,directions_step_6,directions_step_7,directions_step_8,directions_step_9,directions_step_10,image,image_creative_commons,calories,fat_in_grams,carbohydrates_in_grams,protein_in_grams
40,Classic Egg Porridge,Breakfast Recipes,10.0,,15.0,,Medium,4.0,2.0,0.33,2.0,2.0,,,,,,,organic free-range eggs,cup organic heavy cream without food additives,packages of your preferred sweetener,tbsp grass-fed butter ground organic cinnamon to taste,,,,,,,"In a bowl, add the eggs, cream, and sweetener, and mix together.",Melt the butter in a saucepan over medium heat. Lower the heat once the butter is melted.,Combine together with the egg and cream mixture.,"While Cooking, mix until it thickens and curdles.","When you see the first signs of curdling, remove the saucepan immediately from the heat.",Pour the porridge into a bowl. Sprinkle cinnamon on top and serve immediately.,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Classic_Egg_Porridge-Classic_Egg_Porridge.jpg,True,604.0,45.0,2.0,8.0
41,Juicy Spanish Omelet,Breakfast Recipes,10.0,,10.0,,Easy,4.0,3.0,,0.5,,,,,,,,eggs,Cayenne or black pepper,cup finely chopped vegetables of your choosing.,,,,,,,,"In a pan on high heat, stir-fry the vegetables in extra virgin olive oil until lightly crispy.",Cook the eggs with one tablespoon of water and a pinch of pepper.,"When almost cooked, top with the vegetables and flip to cook briefly.",Serve,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Juicy_Spanish_Omelet-Juicy_Spanish_Omelet.jpg,True,160.0,15.0,4.0,7.0
42,Delicious Breakfast Sausage Casserole,Breakfast Recipes,10.0,,45.0,,Easy,4.0,8.0,1.0,1.0,2.0,1.0,,,,,,"eggs, beaten",head chopped cauliflower,"lb sausage, cooked and crumbled",cups heavy whipping cream,"cup sharp cheddar cheese, grated",,,,,,Cook the sausage as usual.,"In a large bowl, mix the sausage, heavy whipping cream, chopped cauliflower, cheese, and eggs.",Pour into a greased casserole dish.,"Cook for 45 minutes at 350°F/175°C, or until firm.",Top with cheese and serve.,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Delicious_Breakfast_Sausage_Casserole-Delicious_Breakfast_Sausage_Casserole.jpg,True,290.0,25.0,1.0,12.0
43,Excellent Scrambled Mug Eggs,Breakfast Recipes,10.0,,5.0,,Easy,4.0,1.0,2.0,,,,,,,,,mug,eggs,Salt and pepper,Shredded cheese,Your favorite buffalo wing sauce,,,,,,Crack the eggs into a mug and whisk until blended.,"Put the mug into your microwave and cook for 1.5 - 2 minutes, depending on the power of your microwave.",Leave for a few minutes and remove from the microwave.,Sprinkle with salt and pepper. Add your desired amount of cheese on top.,"Using a fork, mix everything together.",Then add your favorite buffalo or hot sauce and mix again.,Serve!,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Excellent_Scrambled_Mug_Eggs-Excellent_Scrambled_Mug_Eggs.jpg,True,330.0,30.0,2.0,12.0
44,Unique Salmon Omelet,Breakfast Recipes,10.0,,10.0,,Easy,4.0,3.0,1.0,3.0,0.25,0.25,,,,,,eggs,smoked salmon,links beef sausage,cup onions,cup provolone cheese,,,,,,Whisk the eggs and pour them into a skillet.,Follow the standard method for making an omelet.,"Add the onions, salmon, and cheese before turning the omelet over.",Sprinkle the omelet with cheese and serve with the sausages on the side.,Serve!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Unique_Salmon_Omelet-Unique_Salmon_Omelet.jpg,True,460.0,35.0,2.0,36.0
45,Fine Spinach And Cheese Eggs,Breakfast Recipes,10.0,,30.0,,Easy,4.0,3.0,3.0,4.0,,,,,,,,hole eggs,oz cottage cheese,oz chopped spinach 1/4 cup parmesan cheese 1/4 cup of milk,,,,,,,,Preheat your oven to 375°F/190°C.,"In a large bowl, whisk the eggs, cottage cheese, parmesan, and milk.",Mix in the spinach.,"Transfer to a small, greased oven dish.",Sprinkle the cheese on top.,Bake for 25-30 minutes.,Let cool for 5 minutes and serve.,Serve!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Fine_Spinach_And_Cheese_Eggs-Fine_Spinach_And_Cheese_Eggs.jpg,True,200.0,25.0,2.0,16.0
46,Juicy Scotch Egg,Breakfast Recipes,10.0,,30.0,,Easy,4.0,4.0,1.0,8.0,4.0,,,,,,,large eggs,package beef Sausage (12 oz),slices thick-cut beef bacon,toothpicks,,,,,,,"Hard-boil the eggs, peel the shells, and let them cool.",Slice the sausage into four parts and place each part into a large circle.,Put an egg into each circle and wrap it in the sausage.,Place inside your refrigerator for 1 hour.,Make a cross with two pieces of thick-cut bacon.,"Place a wrapped egg in the center, fold the bacon over the top of the egg and secure with a toothpick.",Cook inside your oven at 450°F/230°C for 25 minutes.,Enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Juicy_Scotch_Egg-Juicy_Scotch_Egg.jpg,True,345.0,28.0,2.0,18.0
47,Toasty Cauliflower And Avocado,Breakfast Recipes,10.0,,10.0,,Medium,4.0,1.0,1.0,1.0,0.75,,,,,,,large egg,grated cauliflower head,chopped avocado,cup shredded mozzarella cheese,Salt &Black pepper,,,,,,"Set the oven to preheat at 420 F, then line the baking tray with a parchment paper",Cook the cauliflower in the microwave on high for 7 minutes,"Allow the cauliflower to cool, then drain on a paper towel.","Remove the excess moisture by pressing with a clean kitchen towel, then put them in a bowl.","Add the egg and mozzarella, then stir","Add the seasonings and mix evenly, then shape the mixture into medium squares",Arrange the squares on the prepared baking tray.,"Allow baking until browned evenly, for about 20 minutes","In the meantime, puree the avocado with black pepper and salt.",Top with the pureed avocado and Serve!,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Toasty_Cauliflower_And_Avocado-Toasty_Cauliflower_And_Avocado.jpg,True,126.0,7.0,10.0,10.0
48,Avocado Egg Crepes,Breakfast Recipes,10.0,,5.0,,Easy,4.0,4.0,0.75,2.0,0.5,4.0,,,,,,eggs,sliced avocado,teaspoons olive oil,cup alfalfa sprouts,slices shredded turkey breast,,,,,,Pour the olive oil into a pan and heat over medium heat,Crush the eggs and cook for 3 minutes on each side of the pan as you spread to cook evenly,"Remove the eggs from heat, then top with avocado, turkey breast, sprouts, and alfalfa, then roll up well.",Serve!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Avocado_Egg_Crepes-Avocado_Egg_Crepes.jpg,True,371.0,25.0,10.0,27.0
49,Bacon And Shallots With Spinach,Breakfast Recipes,10.0,,25.0,,Medium,4.0,16.0,0.5,0.5,0.5,2.0,,,,,,oz raw spinach,cup chopped white onion,cup chopped shallot,pound raw bacon slices,tbsp butter,,,,,,Slice the bacon strips into small narrow pieces.,"In a skillet, heat the butter and add the chopped onion, shallots, and bacon.",Saute for 15-20 minutes or until the onions start to caramelize and the bacon is cooked.,Add the spinach and saute on medium heat. Stir frequently to ensure the leaves touch the skillet while cooking.,"Cover and steam for around 5 minutes, stir and continue until wilted.",Serve!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Bacon_And_Shallots_With_Spinach-Bacon_And_Shallots_With_Spinach.jpg,True,150.0,13.0,5.0,4.0
50,The Cheesy Mug,Appetizer and Snacks Recipes,4.0,,2.0,,Easy,1.0,2.0,1.5,1.5,1.0,,,,,,,ounces roast beef slices,"tablespoons green chilies, diced","ounces pepper jack cheese, shredded",tablespoon sour cream,,,,,,,"Layer roast beef on the bottom of your mug, making sure to break it down into small pieces","Add half a tablespoon of sour cream, add half tablespoon green Chile and half an ounce of pepper jack cheese",Keep layering until all ingredients are used,Microwave for 2 minutes,Serve warm and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/The_Cheesy_Mug-The_Cheesy_Mug.jpg,True,268.0,16.0,4.0,22.0
51,Cashew And Almond Butter,Appetizer and Snacks Recipes,5.0,,0.0,,Easy,1.0,1.0,0.33,2.0,,0.5,,,,,,"cup almonds, blanched",cup cashew nuts,tablespoons coconut oil,Salt as needed,teaspoon cinnamon,,,,,,Pre-heat your oven to 350 degree F,Bake almonds and cashews for 12 minutes,Let them cool,Transfer to food processor and add remaining ingredients,Add oil and keep blending until smooth,Serve and enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Cashew_And_Almond_Butter-Cashew_And_Almond_Butter.jpg,True,205.0,19.0,1.0,2.8
52,Crispy Walnut Crumbles,Appetizer and Snacks Recipes,10.0,,8.0,,Medium,10.0,6.0,2.0,1.0,0.5,,,,,,,"ounces parmesan cheese, grated","tablespoons walnuts, chopped",tablespoons unsalted butter,tablespoon fresh thyme chopped,,,,,,,Pre-heat your oven to 350 degree F,Take two large rimmed baking sheets and line with parchment,"Add cheese, butter to food processor and blend",Add walnuts to the mix and pulse,Take a tablespoon and scoop mix onto baking sheet,Top with chopped thymes,"Bake for 8 minutes, transfer to cooling rack",Let it cool for 30 minutes,Serve and enjoy!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Crispy_Walnut_Crumbles-Crispy_Walnut_Crumbles.jpg,True,80.0,3.0,7.0,7.0
53,Keto Kohlslaw,Appetizer and Snacks Recipes,10.0,,0.0,,Easy,4.0,1.0,,1.0,,,,,,,,"pound kohlrabi, peeled and shredded",Fresh parsley,cup mayonnaise (Keto-Friendly),"Salt, to taste","Ground black pepper, to taste",,,,,,Take a bowl and all the remaining ingredients,Mix it well until well combined,Adjust seasoning with salt and pepper,Serve and enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Keto_Kohlslaw-Keto_Kohlslaw.jpg,True,392.0,40.4,7.2,6.2
54,Stuffed Mushrooms,Appetizer and Snacks Recipes,10.0,,15.0,,Medium,4.0,4.0,1.0,2.0,,,,,,,,Portobello mushroom,cup crumbled blue cheese,teaspoons extra virgin olive oil,"Salt, to taste",Fresh thyme,,,,,,Preheat your oven to 350 degree Fahrenheit,Put out the stems from the mushrooms,Chop them into small pieces,"Take a bowl and mix stem pieces with thyme, salt and blue cheese and mix well",Fill up mushroom with the prepared cheese,Top them with some oil,Take a baking sheet and place the mushrooms,Bake for 15 minutes to 20 minutes,Serve warm and enjoy!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Stuffed_Mushrooms-Stuffed_Mushrooms.jpg,True,124.0,22.4,5.4,1.2
55,Flax And Almond Crunchies,Appetizer and Snacks Recipes,15.0,,60.0,,Easy,20.0,0.5,0.5,1.0,0.25,1.0,2.0,,,,,cup ground flax seeds,cup almond flour,tablespoon coconut flour,tablespoons shelled hemp seeds,"teaspoon sea salt, plus more to sprinkle on top",egg white,"tablespoons unsalted butter, melted",,,,Pre-heat your oven to 300 degree F,"Take a baking sheet and line it with parchment paper, keep the prepared sheet on the side","Add flax, coconut flour, almond, salt, hemp seed to a bowl and mix well","Add egg and melted butter, mix well",Transfer dough to sheet of parchment paper and cover with another sheet of paper,Roll out dough,Cut into crackers and bake for 60 minutes,Cool and serve!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Flax_And_Almond_Crunchies-Flax_And_Almond_Crunchies.jpg,True,47.0,6.0,1.2,2.0
56,Juicy Salmon Fat Bombs,Appetizer and Snacks Recipes,5.0,,10.0,,Medium,12.0,0.5,2.0,0.5,2.0,,,,,,,"cup goat cheese, at room temperature","teaspoons lemon juice, fresh","cup butter, at room temperature",ounces smoked salmon,Black pepper to taste,,,,,,Place a parchment paper over baking sheet,"Take a medium bowl and stir in goat cheese, smoked salmon, pepper, lemon juice together",Scoop it out into 12 mounds,Chill for 2-3 hours,Serve when needed and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Juicy_Salmon_Fat_Bombs-Juicy_Salmon_Fat_Bombs.jpg,True,145.0,18.0,0.0,8.0
57,Roasted Herb Crackers,Appetizer and Snacks Recipes,10.0,,120.0,,Easy,75.0,0.25,10.0,1.0,2.0,2.0,1.0,3.0,,,,cup avocado oil,celery sticks,"sprig fresh rosemary, stem discarded","sprig fresh thyme, stems discarded",tablespoons apple cider vinegar,teaspoon Himalayan salt,cups ground flax seeds,,,,Pre-heat your oven to 225 degree F,Line a baking sheet with parchment paper and keep it on the side,"Add oil, herbs, celery, vinegar, salt to food processor and pulse until you have an even mixture",Add flax and puree,Let it sit for 2-3 minutes,"Transfer batter to your prepared baking sheet and spread evenly, cut into cracker shapes","Bake for 60 minutes, flip and bake for 60 minutes more",Enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Roasted_Herb_Crackers-Roasted_Herb_Crackers.jpg,True,34.0,5.0,1.0,1.3
58,Crunchy Garlic Bread Stick,Appetizer and Snacks Recipes,15.0,,15.0,,Medium,8.0,0.25,1.0,2.0,0.5,1.0,0.25,3.0,1.0,0.25,,"cup butter, softened",teaspoon garlic powder,cups almond flour,tablespoon baking powder,tablespoon Psyllium husk powder,teaspoon salt,"tablespoons butter, melted",egg,cup boiling water,,Pre-heat your oven to 400-degree F,Line baking sheet with parchment paper and keep it on the side,Beat butter with garlic powder and keep it on the side,"Add almond flour, baking powder, husk, salt in a bowl and mix in butter and egg, mix well",Pour boiling water in the mix and stir until you have a nice dough,Divide the dough into 8 balls and roll into breadsticks,Place on baking sheet and bake for 15 minutes,Brush each stick with garlic butter and bake for 5 minutes more,Serve and enjoy!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Crunchy_Garlic_Bread_Stick-Crunchy_Garlic_Bread_Stick.png,True,259.0,24.0,5.0,7.0
59,Magnificent Camembert Mushrooms,Appetizer and Snacks Recipes,5.0,,13.0,,Medium,4.0,2.0,4.0,2.0,1.0,,,,,,,tablespoons butter,"ounces Camembert cheese, diced","teaspoons garlic, minced","pound button mushrooms, halved",Black pepper to taste,,,,,,Place a skillet over medium high heat,Add butter and let it melt,"Once the butter has melted, add garlic and Saute until translucent, should take 3 minutes",Add mushrooms and cook for 10 minutes,Season with pepper and serve,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Magnificent_Camembert_Mushrooms-Magnificent_Camembert_Mushrooms.jpg,True,161.0,13.0,3.0,9.0
60,Golden Eggplant Fries,Appetizer and Snacks Recipes,10.0,,15.0,,Easy,8.0,2.0,2.0,2.0,2.0,,,,,,,eggs,cups almond flour,"tablespoons coconut oil, spray","eggplant, peeled and cut thinly",Salt and pepper,,,,,,Preheat your oven to 400 degree Fahrenheit,Take a bowl and mix with salt and black pepper in it,Take another bowl and beat eggs until frothy,Dip the eggplant pieces into eggs,Then coat them with flour mixture,Add another layer of flour and egg,"Then, take a baking sheet and grease with coconut oil on top",Bake for about 15 minutes,Serve and enjoy!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Golden_Eggplant_Fries-Golden_Eggplant_Fries.jpg,True,212.0,15.8,12.1,8.6
61,Cheesy Mozzarella Sticks,Appetizer and Snacks Recipes,10.0,,20.0,,Medium,8.0,2.0,2.0,2.0,1.0,0.5,1.0,0.5,,,,cups shredded mozzarella cheese,tablespoons coconut flour,whole eggs,pinch of salt,cup shredded parmesan cheese,tablespoons Italian seasoning,teaspoon garlic powder,,,,Pre-heat your oven to 350 degree F,Line a baking sheet with parchment paper,"Take your food processor and add cheese, flour, eggs, salt and process","Scoop the mix onto your lined baking sheet and flatten to 1 inch thickness, forming a square",Bake for 15 minutes,"Remove from oven and sprinkle parmesan cheese, Italian seasoning and garlic powder",Bake for 5 minutes,Remove from oven and let it cool,Serve and enjoy!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Cheesy_Mozzarella_Sticks-Cheesy_Mozzarella_Sticks.jpg,True,225.0,19.0,3.0,12.0
62,Salt And Rosemary Cracker,Appetizer and Snacks Recipes,10.0,,15.0,,Easy,36.0,1.5,0.5,1.0,2.0,0.25,1.0,,,,,cups almond flour,teaspoon Celtic salt,"egg, at room temp",tablespoons coconut oil,teaspoon pepper,"tablespoon rosemary, chopped",,,,,Pre-heat oven to 350 degree F,Take a baking tray and line it with parchment paper,"Take a bowl and add almond flour, salt and keep it on the side","Take another bowl and add coconut oil, pepper, rosemary",Add almond mix to the bowl,Mix well until you have an even dough,"Transfer dough to a piece of parchment paper, cover with another parchment paper piece and roll it out into a thin layer","Cut into crackers, arrange them on prepped baking sheet",Bake for 10-15 minutes,Let them cool. Serve and enjoy!,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Salt_And_Rosemary_Cracker-Salt_And_Rosemary_Cracker.jpg,True,66.0,6.0,1.4,3.0
63,Premium Goat Cheese Salad,Appetizer and Snacks Recipes,4.0,,10.0,,Medium,2.0,1.5,4.0,4.0,0.5,4.0,,,,,,"cups Hard Goat cheese, grated","cups spinach, fresh","strawberries, garnish","cup flaked almonds, toasted","tablespoons Raspberry vinaigrette, check for Keto-Friendliness",,,,,,Pre-heat your oven to 400 degree F,"Line a baking sheet using parchment paper, cut the parchment paper in half",Grate goat cheese onto each half,Form two circles using the grated cheese,Bake for 10 minutes,Transfer to a bowl and let it cool in the bowl shape,Peel the cheese off,Add remaining ingredients into the cheese and toss well,Serve immediately and enjoy!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Premium_Goat_Cheese_Salad-Premium_Goat_Cheese_Salad.jpg,True,645.0,53.0,6.0,33.0
64,Grilled Avocado And Melted Cheese,Appetizer and Snacks Recipes,5.0,,4.0,,Easy,6.0,1.0,1.0,1.0,0.25,,,,,,,whole avocado,tablespoon chipotle sauce,tablespoon lime juice,cup parmesan cheese,Salt and pepper to taste,,,,,,"Prepare avocado by slicing half lengthwise, and discard seed",Gently prick skin of avocado with fork,"Set your avocado halves, skin down on small baking sheet, lined with aluminum foil",Top with sauce and drizzle lime juice,Season with salt and pepper,"Sprinkle half parmesan cheese in each cavity, set your broiler to high for 2 minutes",Add rest of the cheese and return to your broiler until cheese melts and avocado slightly browns,Serve hot and enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Grilled_Avocado_And_Melted_Cheese-Grilled_Avocado_And_Melted_Cheese.jpg,True,459.0,41.0,15.0,7.0
65,Mozzarella And Bacon Bites,Appetizer and Snacks Recipes,10.0,,5.0,,Easy,4.0,8.0,4.0,,,,,,,,,bacon strips,mozarella string cheese pieces,"Olive oil, as needed",,,,,,,,Take a heavy duty skillet and place it over medium heat,"Add 2 inch of oil, let it heat up to 350 degree F (check using thermometer)",Cut the string cheese to 8 pieces,Wrap each piece string cheese with a strip of bacon and secure using toothpick,Cook the sticks in hot oil for 2 minutes until the bacons are browned,Transfer to serving platter and drain with kitchen towel,Serve!,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Mozzarella_And_Bacon_Bites-Mozzarella_And_Bacon_Bites.jpg,True,278.0,15.0,3.0,32.0
66,Brazilian Butter Macadamia,Appetizer and Snacks Recipes,5.0,,0.0,,,1.0,2.0,1.0,0.25,0.5,3.0,,,,,,"tablespoons chives, fresh and chopped","tablespoon lemon juice, fresh",cup Keto-Friendly mayonnaise,"avocado, large","egg yolks, large and cooked",,,,,,Add listed ingredients to a food processor and blend until smooth,Scrap the sides and transfer to a mason jar,Serve when needed!,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Brazilian_Butter_Macadamia-Brazilian_Butter_Macadamia.jpg,True,225.0,23.0,1.7,2.8
